locus_tag	ftype	length_bp	gene	EC_number	COG	product
SEQF10000.1_00080	CDS	942				hypothetical protein
SEQF10000.1_00081	CDS	951				hypothetical protein
SEQF10000.1_00082	CDS	2322				hypothetical protein
SEQF10000.1_00083	CDS	1419	gtfA_1	2.4.1.-		UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit
SEQF10000.1_00084	CDS	762				hypothetical protein
SEQF10000.1_00085	CDS	1854				hypothetical protein
SEQF10000.1_00086	CDS	888				hypothetical protein
SEQF10000.1_00087	CDS	381				hypothetical protein
SEQF10000.1_00088	CDS	177				hypothetical protein
SEQF10000.1_00089	CDS	303				hypothetical protein
SEQF10000.1_00090	CDS	1203				hypothetical protein
SEQF10000.1_00091	CDS	2931				hypothetical protein
SEQF10000.1_00092	CDS	717				hypothetical protein
SEQF10000.1_00093	CDS	459				hypothetical protein
SEQF10000.1_00094	CDS	1605	shlB_1			Hemolysin transporter protein ShlB
SEQF10000.1_00095	CDS	258				hypothetical protein
SEQF10000.1_00096	CDS	1362				hypothetical protein
SEQF10000.1_00097	CDS	1434				hypothetical protein
SEQF10000.1_00098	CDS	1116	adh1	1.1.1.192	COG1454	Long-chain-alcohol dehydrogenase 1
SEQF10000.1_00099	CDS	1311		2.8.3.-	COG0427	putative butyrate:acetyl-CoA coenzyme A-transferase
SEQF10000.1_00100	CDS	282				hypothetical protein
SEQF10000.1_00101	CDS	1449	abfD	4.2.1.120		4-hydroxybutyryl-CoA dehydratase/vinylacetyl-CoA-Delta-isomerase
SEQF10000.1_00102	CDS	1392	norR_2			Anaerobic nitric oxide reductase transcription regulator NorR
SEQF10000.1_00103	CDS	1155	rpoN1		COG1508	RNA polymerase sigma-54 factor 1
SEQF10000.1_00104	CDS	1452	mleN_1		COG1757	Malate-2H(+)/Na(+)-lactate antiporter
SEQF10000.1_00105	CDS	1374	atoC_1		COG2204	Regulatory protein AtoC
SEQF10000.1_00106	CDS	2001	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
SEQF10000.1_00107	CDS	363				hypothetical protein
SEQF10000.1_00108	CDS	780	nadE	6.3.1.5	COG0171	NH(3)-dependent NAD(+) synthetase
SEQF10000.1_00109	CDS	897	rbgA		COG1161	Ribosome biogenesis GTPase A
SEQF10000.1_00110	CDS	684	rsmI	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
SEQF10000.1_00111	CDS	1287				hypothetical protein
SEQF10000.1_00112	CDS	804	tlyA		COG1189	Hemolysin A
SEQF10000.1_00113	CDS	831				hypothetical protein
SEQF10000.1_00114	CDS	1782	dxs_1	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
SEQF10000.1_00115	CDS	306	yhbY		COG1534	RNA-binding protein YhbY
SEQF10000.1_00116	CDS	1869	rnjA	3.1.-.-	COG0595	Ribonuclease J1
SEQF10000.1_00117	CDS	1830	mrdA	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
SEQF10000.1_00118	CDS	399				hypothetical protein
SEQF10000.1_00119	CDS	963				hypothetical protein
SEQF10000.1_00120	CDS	1311	mtaB	2.8.4.5	COG0621	Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB
SEQF10000.1_00121	CDS	726	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
SEQF10000.1_00122	CDS	417	iscR		COG1959	HTH-type transcriptional regulator IscR
SEQF10000.1_00123	CDS	1005	ruvB_1	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
SEQF10000.1_00124	CDS	606				hypothetical protein
SEQF10000.1_00125	CDS	201				hypothetical protein
SEQF10000.1_00126	CDS	822	pdxK	2.7.1.35	COG2240	Pyridoxine/pyridoxal/pyridoxamine kinase
SEQF10000.1_00127	tRNA	85				tRNA-Ser(gga)
SEQF10000.1_00128	CDS	357				hypothetical protein
SEQF10000.1_00129	CDS	126				hypothetical protein
SEQF10000.1_00130	CDS	177				hypothetical protein
SEQF10000.1_00131	CDS	417				hypothetical protein
SEQF10000.1_00132	CDS	651				hypothetical protein
SEQF10000.1_00133	CDS	927	htpX	3.4.24.-	COG0501	Protease HtpX
SEQF10000.1_00134	CDS	285	rpmA		COG0211	50S ribosomal protein L27
SEQF10000.1_00135	CDS	336				hypothetical protein
SEQF10000.1_00136	CDS	312	rplU		COG0261	50S ribosomal protein L21
SEQF10000.1_00137	CDS	1668	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
SEQF10000.1_00138	CDS	477	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
SEQF10000.1_00139	CDS	975	hldE_1		COG2870	Bifunctional protein HldE
SEQF10000.1_00140	CDS	519	cobO	2.5.1.17		Corrinoid adenosyltransferase
SEQF10000.1_00141	CDS	231				hypothetical protein
SEQF10000.1_00142	CDS	267				hypothetical protein
SEQF10000.1_00143	tmRNA	347	ssrA			transfer-messenger RNA, SsrA
SEQF10000.1_00144	CDS	1302	dinF		COG0534	DNA damage-inducible protein F
SEQF10000.1_00145	CDS	762			COG0217	putative transcriptional regulatory protein
SEQF10000.1_00146	CDS	1035				hypothetical protein
SEQF10000.1_00147	CDS	1539	guaA	6.3.5.2		GMP synthase [glutamine-hydrolyzing]
SEQF10000.1_00148	CDS	531	mshD	2.3.1.189		Mycothiol acetyltransferase
SEQF10000.1_00149	CDS	543				hypothetical protein
SEQF10000.1_00150	CDS	444	yvbK	2.3.1.-		putative N-acetyltransferase YvbK
SEQF10000.1_00151	CDS	330				hypothetical protein
SEQF10000.1_00152	CDS	1353	creD		COG4452	Inner membrane protein CreD
SEQF10000.1_00153	CDS	714				hypothetical protein
SEQF10000.1_00154	CDS	1308	eno	4.2.1.11		Enolase
SEQF10000.1_00155	CDS	1419	pykF	2.7.1.40	COG0469	Pyruvate kinase I
SEQF10000.1_00156	CDS	462				hypothetical protein
SEQF10000.1_00157	CDS	900				hypothetical protein
SEQF10000.1_00158	CDS	678	nanE	5.1.3.9	COG3010	Putative N-acetylmannosamine-6-phosphate 2-epimerase
SEQF10000.1_00159	CDS	873	nanA	4.1.3.3	COG0329	N-acetylneuraminate lyase
SEQF10000.1_00160	CDS	903	bglK	2.7.1.85	COG1940	Beta-glucoside kinase
SEQF10000.1_00161	CDS	1854	siaT_1		COG1593	Sialic acid TRAP transporter permease protein SiaT
SEQF10000.1_00162	CDS	990	siaP		COG1638	Sialic acid-binding periplasmic protein SiaP
SEQF10000.1_00163	CDS	1008	purR			HTH-type transcriptional repressor PurR
SEQF10000.1_00164	CDS	1110	nanM	5.1.3.24		N-acetylneuraminate epimerase
SEQF10000.1_00165	CDS	159	bcd_1	1.3.8.1	COG1960	Acyl-CoA dehydrogenase, short-chain specific
SEQF10000.1_00166	CDS	1197	patB_1	4.4.1.13	COG1168	Cystathionine beta-lyase PatB
SEQF10000.1_00167	CDS	1347				hypothetical protein
SEQF10000.1_00168	CDS	717	livF		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
SEQF10000.1_00169	CDS	795	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
SEQF10000.1_00170	CDS	972				hypothetical protein
SEQF10000.1_00171	CDS	885	livH		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
SEQF10000.1_00172	CDS	1149	braC		COG0683	Leucine-, isoleucine-, valine-, threonine-, and alanine-binding protein
SEQF10000.1_00173	CDS	786	ybjI	3.1.3.104	COG0561	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YbjI
SEQF10000.1_00174	CDS	1308	mepA_1			Multidrug export protein MepA
SEQF10000.1_00175	CDS	201	cspLA		COG1278	Cold shock-like protein CspLA
SEQF10000.1_00176	CDS	1341		1.6.99.3		putative NADH oxidase
SEQF10000.1_00177	CDS	606				hypothetical protein
SEQF10000.1_00178	CDS	483				hypothetical protein
SEQF10000.1_00179	CDS	390				hypothetical protein
SEQF10000.1_00180	CDS	2187	ctpC	3.6.3.-	COG2217	Manganese-exporting P-type ATPase
SEQF10000.1_00181	CDS	753				hypothetical protein
SEQF10000.1_00182	CDS	297				hypothetical protein
SEQF10000.1_00183	CDS	663	minC			septum site-determining protein MinC
SEQF10000.1_00184	CDS	792	minD		COG2894	Septum site-determining protein MinD
SEQF10000.1_00185	CDS	255	minE			Cell division topological specificity factor
SEQF10000.1_00186	CDS	561				hypothetical protein
SEQF10000.1_00187	CDS	522	kdsC	3.1.3.45	COG1778	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC
SEQF10000.1_00188	CDS	1152	dnaJ		COG0484	Chaperone protein DnaJ
SEQF10000.1_00189	CDS	261	yajC		COG1862	Sec translocon accessory complex subunit YajC
SEQF10000.1_00190	CDS	1008				hypothetical protein
SEQF10000.1_00191	CDS	411				hypothetical protein
SEQF10000.1_00192	CDS	573				hypothetical protein
SEQF10000.1_00193	CDS	1935	rnr	3.1.13.1	COG0557	Ribonuclease R
SEQF10000.1_00194	CDS	447	smpB		COG0691	SsrA-binding protein
SEQF10000.1_00195	CDS	3357	aas	6.2.1.20		Bifunctional protein Aas
SEQF10000.1_00196	CDS	744	rpsB			30S ribosomal protein S2
SEQF10000.1_00197	CDS	894	tsf		COG0264	Elongation factor Ts
SEQF10000.1_00198	CDS	720	pyrH	2.7.4.22	COG0528	Uridylate kinase
SEQF10000.1_00199	CDS	570	frr			Ribosome-recycling factor
SEQF10000.1_00200	CDS	1308				hypothetical protein
SEQF10000.1_00201	CDS	927	trxB	1.8.1.9	COG0492	Thioredoxin reductase
SEQF10000.1_00202	CDS	621		3.-.-.-		putative protein
SEQF10000.1_00203	CDS	459	trmL	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
SEQF10000.1_00204	CDS	570	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
SEQF10000.1_00205	CDS	1029	ltaE	4.1.2.48		Low specificity L-threonine aldolase
SEQF10000.1_00206	CDS	1110	tmcAL	6.3.4.-	COG1323	tRNA(Met) cytidine acetate ligase
SEQF10000.1_00207	CDS	1290	yicJ		COG2211	Inner membrane symporter YicJ
SEQF10000.1_00208	CDS	1170				hypothetical protein
SEQF10000.1_00209	CDS	600	yigZ		COG1739	IMPACT family member YigZ
SEQF10000.1_00210	CDS	1068	mutY	3.2.2.31		Adenine DNA glycosylase
SEQF10000.1_00211	CDS	225				hypothetical protein
SEQF10000.1_00212	CDS	1233	rarA		COG2256	Replication-associated recombination protein A
SEQF10000.1_00213	CDS	1242	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
SEQF10000.1_00214	CDS	558				hypothetical protein
SEQF10000.1_00215	CDS	879				hypothetical protein
SEQF10000.1_00216	CDS	822				hypothetical protein
SEQF10000.1_00217	CDS	636				hypothetical protein
SEQF10000.1_00218	CDS	207				hypothetical protein
SEQF10000.1_00219	CDS	630	xerD			Tyrosine recombinase XerD
SEQF10000.1_00220	CDS	954				hypothetical protein
SEQF10000.1_00221	CDS	3048				hypothetical protein
SEQF10000.1_00222	CDS	1380				hypothetical protein
SEQF10000.1_00223	CDS	1755	hutU_1	4.2.1.49	COG2987	Urocanate hydratase
SEQF10000.1_00224	CDS	1296				hypothetical protein
SEQF10000.1_00225	CDS	1305				hypothetical protein
SEQF10000.1_00226	CDS	1248	hutI_1	3.5.2.7	COG1228	Imidazolonepropionase
SEQF10000.1_00227	CDS	555				hypothetical protein
SEQF10000.1_00228	CDS	1536	hutH_1	4.3.1.3	COG2986	Histidine ammonia-lyase
SEQF10000.1_00229	CDS	882		2.1.2.5	COG3643	Glutamate formimidoyltransferase
SEQF10000.1_00230	CDS	1674	fhs_1	6.3.4.3	COG2759	Formate--tetrahydrofolate ligase
SEQF10000.1_00231	CDS	1044				hypothetical protein
SEQF10000.1_00232	CDS	486				hypothetical protein
SEQF10000.1_00233	CDS	1287	siaT_2		COG1593	Sialic acid TRAP transporter permease protein SiaT
SEQF10000.1_00234	CDS	792	yutF	3.1.3.-	COG0647	Acid sugar phosphatase
SEQF10000.1_00235	CDS	153	rpmG		COG0267	50S ribosomal protein L33
SEQF10000.1_00236	tRNA	76				tRNA-Trp(cca)
SEQF10000.1_00237	CDS	183	secE			Protein translocase subunit SecE
SEQF10000.1_00238	CDS	585	nusG		COG0250	Transcription termination/antitermination protein NusG
SEQF10000.1_00239	CDS	426	rplK		COG0080	50S ribosomal protein L11
SEQF10000.1_00240	CDS	708	rplA			50S ribosomal protein L1
SEQF10000.1_00241	misc_RNA	148				L10_leader
SEQF10000.1_00242	CDS	513	rplJ		COG0244	50S ribosomal protein L10
SEQF10000.1_00243	CDS	366	rplL		COG0222	50S ribosomal protein L7/L12
SEQF10000.1_00244	CDS	3555	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
SEQF10000.1_00245	CDS	3969	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
SEQF10000.1_00246	CDS	879				hypothetical protein
SEQF10000.1_00247	CDS	564	gmk	2.7.4.8	COG0194	Guanylate kinase
SEQF10000.1_00248	CDS	201	rpoZ	2.7.7.6		DNA-directed RNA polymerase subunit omega
SEQF10000.1_00249	CDS	996	apbE	2.7.1.180	COG1477	FAD:protein FMN transferase
SEQF10000.1_00250	CDS	2034	hppA1	7.2.3.-	COG3808	Putative K(+)-stimulated pyrophosphate-energized sodium pump
SEQF10000.1_00251	CDS	1548				hypothetical protein
SEQF10000.1_00252	CDS	1236				IS256 family transposase ISCth4
SEQF10000.1_00253	CDS	189				hypothetical protein
SEQF10000.1_00254	CDS	609				hypothetical protein
SEQF10000.1_00255	CDS	912	psaA		COG0803	Manganese ABC transporter substrate-binding lipoprotein
SEQF10000.1_00256	CDS	717	mntB		COG1121	Manganese transport system ATP-binding protein MntB
SEQF10000.1_00257	CDS	900	znuB_1		COG1108	High-affinity zinc uptake system membrane protein ZnuB
SEQF10000.1_00258	CDS	879				hypothetical protein
SEQF10000.1_00259	CDS	453				hypothetical protein
SEQF10000.1_00260	CDS	798				hypothetical protein
SEQF10000.1_00261	CDS	924				hypothetical protein
SEQF10000.1_00262	CDS	546				hypothetical protein
SEQF10000.1_00263	CDS	996	xerC_1			Tyrosine recombinase XerC
SEQF10000.1_00264	CDS	663	tpd		COG3470	34 kDa membrane antigen
SEQF10000.1_00265	CDS	1308				hypothetical protein
SEQF10000.1_00266	CDS	1431				hypothetical protein
SEQF10000.1_00267	CDS	753				hypothetical protein
SEQF10000.1_00268	CDS	414	tolR_1			Tol-Pal system protein TolR
SEQF10000.1_00269	CDS	636	tolQ_1			Tol-Pal system protein TolQ
SEQF10000.1_00270	CDS	1257				hypothetical protein
SEQF10000.1_00271	CDS	2940	btuB_1			Vitamin B12 transporter BtuB
SEQF10000.1_00272	misc_RNA	165				Cobalamin
SEQF10000.1_00273	CDS	684	ytrE		COG1136	ABC transporter ATP-binding protein YtrE
SEQF10000.1_00274	CDS	1206				hypothetical protein
SEQF10000.1_00275	CDS	441				hypothetical protein
SEQF10000.1_00276	CDS	420				hypothetical protein
SEQF10000.1_00277	CDS	675	yknY_1	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
SEQF10000.1_00278	CDS	1203				hypothetical protein
SEQF10000.1_00279	CDS	1281				hypothetical protein
SEQF10000.1_00280	CDS	1266				hypothetical protein
SEQF10000.1_00281	CDS	1071	carA_2	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
SEQF10000.1_00282	CDS	3210	carB	6.3.5.5		Carbamoyl-phosphate synthase large chain
SEQF10000.1_00283	CDS	1221	gltP_1		COG1301	Proton/glutamate-aspartate symporter
SEQF10000.1_00284	CDS	537	ymdB_1	3.1.1.106	COG2110	O-acetyl-ADP-ribose deacetylase
SEQF10000.1_00285	CDS	276				hypothetical protein
SEQF10000.1_00286	CDS	516	ybdM		COG1475	putative protein YbdM
SEQF10000.1_00287	CDS	1275				hypothetical protein
SEQF10000.1_00288	CDS	1395	mepA_2		COG0534	Multidrug export protein MepA
SEQF10000.1_00289	CDS	2481	pigC	6.4.-.-		Prodigiosin synthesizing transferase PigC
SEQF10000.1_00290	CDS	597				hypothetical protein
SEQF10000.1_00291	CDS	1986	btuB_2			Vitamin B12 transporter BtuB
SEQF10000.1_00292	CDS	975	rhaR_1			HTH-type transcriptional activator RhaR
SEQF10000.1_00293	CDS	1734		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
SEQF10000.1_00294	CDS	1719		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
SEQF10000.1_00295	CDS	207				hypothetical protein
SEQF10000.1_00296	CDS	222				hypothetical protein
SEQF10000.1_00297	CDS	531				IS256 family transposase ISCth4
SEQF10000.1_00298	CDS	528				IS256 family transposase ISCth4
SEQF10000.1_00299	CDS	195				hypothetical protein
SEQF10000.1_00300	CDS	2235				hypothetical protein
SEQF10000.1_00301	CDS	1056				hypothetical protein
SEQF10000.1_00302	CDS	324				hypothetical protein
SEQF10000.1_00303	CDS	318				hypothetical protein
	repeat_region	2093				
SEQF10000.1_00304	CDS	669				hypothetical protein
SEQF10000.1_00305	CDS	339				hypothetical protein
SEQF10000.1_00306	CDS	747				hypothetical protein
SEQF10000.1_00307	CDS	546				hypothetical protein
SEQF10000.1_00308	CDS	474			COG3039	IS5 family transposase ISThsp20
SEQF10000.1_00309	CDS	162				hypothetical protein
SEQF10000.1_00310	CDS	1215				hypothetical protein
SEQF10000.1_00311	CDS	1131				hypothetical protein
SEQF10000.1_00312	CDS	1524				hypothetical protein
SEQF10000.1_00313	CDS	126				hypothetical protein
SEQF10000.1_00314	CDS	2022				hypothetical protein
SEQF10000.1_00315	CDS	678				hypothetical protein
SEQF10000.1_00316	CDS	1356				hypothetical protein
SEQF10000.1_00317	CDS	894				hypothetical protein
SEQF10000.1_00318	CDS	501				hypothetical protein
SEQF10000.1_00319	CDS	612				hypothetical protein
SEQF10000.1_00320	CDS	11217				hypothetical protein
SEQF10000.1_00321	CDS	1695			COG1132	putative ABC transporter ATP-binding/permease protein
SEQF10000.1_00322	CDS	1743		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
SEQF10000.1_00323	CDS	198				hypothetical protein
SEQF10000.1_00324	CDS	663				hypothetical protein
SEQF10000.1_00325	CDS	216				hypothetical protein
SEQF10000.1_00326	CDS	1005				hypothetical protein
SEQF10000.1_00327	rRNA	1748				23S ribosomal RNA (partial)
SEQF10000.1_00328	CDS	873				hypothetical protein
SEQF10000.1_00329	CDS	1023	mreB_1		COG1077	Cell shape-determining protein MreB
SEQF10000.1_00330	CDS	408	mrnC	3.1.26.-		Mini-ribonuclease 3
SEQF10000.1_00331	CDS	1422	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
SEQF10000.1_00332	CDS	699	ispD	2.7.7.60	COG1211	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
SEQF10000.1_00333	CDS	2337	mutS2_2	3.1.-.-		Endonuclease MutS2
SEQF10000.1_00334	CDS	258				hypothetical protein
SEQF10000.1_00335	CDS	1500				hypothetical protein
SEQF10000.1_00336	CDS	990	ldhA	1.1.1.28	COG1052	D-lactate dehydrogenase
SEQF10000.1_00337	CDS	219	rpsR		COG0238	30S ribosomal protein S18
SEQF10000.1_00338	CDS	285	rpsF		COG0360	30S ribosomal protein S6
SEQF10000.1_00339	CDS	1080	ftsZ		COG0206	Cell division protein FtsZ
SEQF10000.1_00340	CDS	1260	ftsA		COG0849	Cell division protein FtsA
SEQF10000.1_00341	CDS	687	ftsQ			Cell division protein FtsQ
SEQF10000.1_00342	CDS	867	ddl	6.3.2.4	COG1181	D-alanine--D-alanine ligase
SEQF10000.1_00343	CDS	840	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
SEQF10000.1_00344	CDS	1344	murC	6.3.2.8		UDP-N-acetylmuramate--L-alanine ligase
SEQF10000.1_00345	CDS	1068	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
SEQF10000.1_00346	CDS	1302	murD	6.3.2.9		UDP-N-acetylmuramoylalanine--D-glutamate ligase
SEQF10000.1_00347	CDS	1086	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
SEQF10000.1_00348	CDS	1281	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
SEQF10000.1_00349	CDS	564	gmhB	3.1.3.82	COG0241	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
SEQF10000.1_00350	CDS	1083				hypothetical protein
SEQF10000.1_00351	CDS	2559	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
SEQF10000.1_00352	CDS	594	sigH		COG1595	RNA polymerase sigma-H factor
SEQF10000.1_00353	CDS	717		2.1.1.-		Putative TrmH family tRNA/rRNA methyltransferase
SEQF10000.1_00354	CDS	1269	murA1	2.5.1.7		UDP-N-acetylglucosamine 1-carboxyvinyltransferase 1
SEQF10000.1_00355	CDS	657				hypothetical protein
